Andhra Pradesh,IN-AP,Hyderabad (de jure),Visakhapatnam,49506799,160205,4.885461,81106.02246
Arunachal Pradesh,IN-AR,Itanagar,NaN,1383727,83743,2.553748,42396.06528
Assam,IN-AS,Dispur,Guwahati,31205576,78550,2.395387,39767.03638
Bihar,IN-BR,Patna,NaN,104099452,99200,3.02511,50221.38777
Chhattisgarh,IN-CT,Naya Raipur,Raipur,25545198,135194,4.122749,68443.85381
Goa,IN-GA,Panaji,Vasco da Gama,1458545,3702,0.112893,1874.18929
Gujarat,IN-GJ,Gandhinagar,Ahmedabad,60439692,196024,5.977763,99239.8923
Haryana,IN-HR,Chandigarh,Faridabad,25351462,44212,1.348247,22382.94351
Himachal Pradesh,IN-HP,Shimla (Summer),Shimla,6864602,55673,1.697751,28185.23509
Jammu and Kashmir,IN-JK,Srinagar (Summer),Srinagar,12541302,222236,6.777099,112510.084
Jharkhand,IN-JH,Ranchi,Jamshedpur,32988134,74677,2.277279,37806.27595
Karnataka,IN-KA,Bangalore,NaN,61095297,191791,5.848677,97096.87683
Kerala,IN-KL,Thiruvananthapuram,Kochi,33406061,38863,1.185129,19674.93743
Madhya Pradesh,IN-MP,Bhopal,Indore,72626809,308252,9.400162,156056.8873
Maharashtra,IN-MH,Mumbai,NaN,112374333,307713,9.383725,155784.011
Manipur,IN-MN,Imphal,NaN,2855794,22347,0.681473,11313.48138
Meghalaya,IN-ML,Shillong,NaN,2966889,22720,0.692848,11502.31784
Mizoram,IN-MZ,Aizawl,NaN,1097206,21081,0.642866,10672.55116
Nagaland,IN-NL,Kohima,Dimapur,1978502,16579,0.505578,8393.350684
Odisha,IN-OR,Bhubaneswar,NaN,41974218,155820,4.75174,78886.05486
Punjab,IN-PB,Chandigarh,Ludhiana,27743338,50362,1.535792,25496.46704
Rajasthan,IN-RJ,Jaipur,NaN,68548437,342269,10.437513,173278.4695
Sikkim,IN-SK,Gangtok,NaN,610577,7096,0.216393,3592.44927
Tamil Nadu,IN-TN,Chennai,NaN,72147030,130058,3.966126,65843.68196
Telangana,IN-TG,Hyderabad,NaN,35193978,114840,3.502052,58139.35657
Tripura,IN-TR,Agartala,NaN,3673917,10492,0.319954,5311.721779
Uttar Pradesh,IN-UP,Lucknow,Kanpur,199812341,243286,7.41902,123166.941
Uttarakhand,IN-UT,Dehradun,NaN,10086292,53483,1.630967,27076.51696
West Bengal,IN-WB,Kolkata,NaN,91276115,88752,2.706497,44931.94161
NaN,NaN,NaN,NaN,NaN,3279220,NaN,1660151
